pitch_id,game_date,game_pk,game_type,at_bat_number,pitch_number,inning,inning_topbot,outs_when_up,home_team,away_team,player_name,pitcher,batter,stand,p_throws,balls,strikes,count,pitcher_advantage_count,is_two_strike,is_first_pitch,times_through_order,pitch_type,pitch_name,pitch_name_raw,description,events,type,bb_type,is_strike,is_swing,is_contact,is_whiff,is_csw,is_in_zone,is_chase,zone,release_speed,effective_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,sz_top,sz_bot,arm_angle,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,delta_run_exp,bat_speed,swing_length,is_hard_hit,home_score,away_score,bat_score,fld_score,has_video,video_url,video_level,video_notes
824238_44_5,2026-08-13,824238,R,44,5,6,Bot,2,DET,CLE,"Messick, Parker",800048,680664,R,L,2,2,2-2,False,True,False,3,CU,Curveball,Curveball,hit_into_play,home_run,X,fly_ball,False,True,True,False,False,True,False,8,81.2,82.0,2475,6.6,1.14,53.94,5.26,-1.47,-0.21,0.107675829,1.816941287,3.256865158,1.643651575,44.9,100.3,33.0,389.0,0.377,0.729,2.0,2.633,77.2,8.8,True,1,0,1,0,True,https://www.mlb.com/video/parker-messick-in-play-run-s-to-eduardo-valencia-gnzatc?partnerId=web_multimedia-search_video-share,Pitch,
824238_44_4,2026-08-13,824238,R,44,4,6,Bot,2,DET,CLE,"Messick, Parker",800048,680664,R,L,1,2,1-2,True,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,14,97.6,98.4,2341,6.6,0.92,53.89,5.29,0.4,1.45,0.485179254,1.420260682,3.256865158,1.643651575,42.0,,,,,,,0.041,,,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-ball-to-eduardo-valencia-wcwd4d?partnerId=web_multimedia-search_video-share,Pitch,
824238_44_3,2026-08-13,824238,R,44,3,6,Bot,2,DET,CLE,"Messick, Parker",800048,680664,R,L,0,2,0-2,True,True,False,3,CH,Changeup,Changeup,ball,none,B,none,False,False,False,False,False,False,False,14,85.9,86.4,2021,6.4,1.29,54.15,5.24,1.06,0.05,1.241445488,1.304886426,3.256865158,1.643651575,36.7,,,,,,,0.026,,,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-ball-to-eduardo-valencia-rkqh0a?partnerId=web_multimedia-search_video-share,Pitch,
824238_44_2,2026-08-13,824238,R,44,2,6,Bot,2,DET,CLE,"Messick, Parker",800048,680664,R,L,0,1,0-1,True,False,False,3,CU,Curveball,Curveball,called_strike,none,S,none,True,False,False,False,True,True,False,9,80.3,81.2,2428,6.4,1.08,54.05,5.38,-1.22,-0.54,0.813562956,1.813575338,3.256865158,1.643651575,50.2,,,,,,,-0.061,,,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-called-strike-to-eduardo-valencia-dpimlp?partnerId=web_multimedia-search_video-share,Pitch,
824238_44_1,2026-08-13,824238,R,44,1,6,Bot,2,DET,CLE,"Messick, Parker",800048,680664,R,L,0,0,0-0,False,False,True,3,CH,Changeup,Changeup,foul,none,S,none,True,True,True,False,False,False,True,13,86.3,86.9,1825,6.4,1.22,54.09,5.16,0.99,0.07,-0.389188772,1.521723875,3.256865158,1.643651575,33.5,94.2,10.0,164.0,,,,-0.043,80.4,8.7,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-foul-to-eduardo-valencia-aravim?partnerId=web_multimedia-search_video-share,Pitch,
824238_43_4,2026-08-13,824238,R,43,4,6,Bot,1,DET,CLE,"Messick, Parker",800048,805808,L,L,1,2,1-2,True,True,False,3,SI,Sinker,Sinker,hit_into_play,field_out,X,ground_ball,False,True,True,False,False,False,True,13,95.2,96.0,2187,6.7,1.02,53.83,5.23,1.0,0.8,-0.42397446,1.429580918,3.085728346,1.557283465,40.4,98.8,-16.0,5.0,0.162,0.146,0.0,-0.182,71.9,7.2,True,1,0,1,0,True,https://www.mlb.com/video/kevin-mcgonigle-grounds-out-second-baseman-travis-bazzana-to-first-basema-7bo7rq?partnerId=web_multimedia-search_video-share,Pitch,
824238_43_3,2026-08-13,824238,R,43,3,6,Bot,1,DET,CLE,"Messick, Parker",800048,805808,L,L,0,2,0-2,True,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,ball,none,B,none,False,False,False,False,False,False,False,11,96.1,96.6,2357,6.7,1.01,53.84,5.25,0.36,1.38,-0.967495456,3.14415276,3.085728346,1.557283465,39.8,,,,,,,0.019,,,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-ball-to-kevin-mcgonigle-u44rwa?partnerId=web_multimedia-search_video-share,Pitch,
824238_43_2,2026-08-13,824238,R,43,2,6,Bot,1,DET,CLE,"Messick, Parker",800048,805808,L,L,0,1,0-1,True,False,False,3,SL,Slider,Slider,foul,none,S,none,True,True,True,False,False,False,True,13,88.0,89.0,2420,6.7,0.91,53.83,5.33,-0.35,0.38,-0.974305801,1.871033455,3.085728346,1.557283465,46.3,73.2,48.0,213.0,,,,-0.057,65.1,7.6,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-foul-to-kevin-mcgonigle-vwh076?partnerId=web_multimedia-search_video-share,Pitch,
824238_43_1,2026-08-13,824238,R,43,1,6,Bot,1,DET,CLE,"Messick, Parker",800048,805808,L,L,0,0,0-0,False,False,True,3,SI,Sinker,Sinker,foul,none,S,none,True,True,True,False,False,False,True,13,93.6,94.6,2004,6.7,1.04,53.83,5.23,0.93,0.73,-0.268204718,1.336983156,3.085728346,1.557283465,41.4,77.6,-45.0,1.0,,,,-0.041,68.6,7.3,False,1,0,1,0,True,https://www.mlb.com/video/parker-messick-foul-to-kevin-mcgonigle-a3zysp?partnerId=web_multimedia-search_video-share,Pitch,
824238_42_7,2026-08-13,824238,R,42,7,6,Bot,0,DET,CLE,"Messick, Parker",800048,693307,R,L,2,2,2-2,False,True,False,3,FF,Four-Seam Fastball,4-Seam Fastball,swinging_strike,strikeout,S,none,True,True,False,True,True,False,True,13,96.9,97.9,2267,6.7,0.88,53.75,5.19,0.53,1.35,-0.806418856,1.134848444,3.271784777,1.651181102,41.2,,,,,0.0,0.0,-0.232,51.5,6.3,False,1,0,1,0,True,https://www.mlb.com/video/dillon-dingler-strikes-out-swinging-j74jtk?partnerId=web_multimedia-search_video-share,Pitch,
